Dates,Discount
1/3/22,-3.222
1/4/22,-3.278
1/5/22,-3.009
1/6/22,-2.827
1/7/22,-2.646
1/10/22,-2.261
1/11/22,-1.852
1/12/22,-1.613
1/13/22,-1.307
1/14/22,-1.231
1/17/22,-1.005
1/18/22,-0.788
1/19/22,-0.47
1/20/22,-0.185
1/21/22,0.249
1/24/22,0.316
1/25/22,0.336
1/26/22,0.388
1/27/22,0.408
1/28/22,0.535
1/31/22,0.434
2/1/22,0.365
2/2/22,0.019
2/3/22,-0.446
2/4/22,-0.427
2/7/22,0.137
2/8/22,0.691
2/9/22,1.061
2/10/22,1.787
2/11/22,1.202
2/14/22,0.784
2/15/22,0.589
2/16/22,0.333
2/17/22,-0.537
2/18/22,-0.514
2/21/22,-1.028
2/22/22,-2.122
2/23/22,-2.798
2/24/22,-3.832
2/25/22,-5.49
2/28/22,-7.109
3/1/22,-8.668
3/2/22,-10.872
3/3/22,-12.799
3/4/22,-15.959
3/7/22,-18.447
3/8/22,-20.641
3/9/22,-21.385
3/10/22,-22.347
3/11/22,-22.22
3/14/22,-22.807
3/15/22,-22.919
3/16/22,-23.882
3/17/22,-24.406
3/18/22,-24.324
3/21/22,-24.258
3/22/22,-24.545
3/23/22,-24.808
3/24/22,-24.678
3/25/22,-25.239
3/28/22,-25.706
3/29/22,-26.457
3/30/22,-27.19
3/31/22,-28.559
4/1/22,-28.872
4/4/22,-30.121
4/5/22,-31.324
4/6/22,-32.291
4/7/22,-33.446
4/8/22,-35.236
4/11/22,-35.644
4/12/22,-35.79
4/13/22,-36.568
4/14/22,-37.059
4/15/22,-37.28
4/18/22,-37.878
4/19/22,-38.301
4/20/22,-38.315
4/21/22,-37.915
4/22/22,-37.397
4/25/22,-37.486
4/26/22,-37.51
4/27/22,-37.406
4/28/22,-37.38
4/29/22,-36.774
5/2/22,-35.56
5/3/22,-34.714
5/4/22,-34.265
5/5/22,-33.388
5/6/22,-33.13
5/9/22,-33.056
5/10/22,-32.863
5/11/22,-32.604
5/12/22,-32.673
5/13/22,-32.99
5/16/22,-33.194
5/17/22,-32.935
5/18/22,-32.786
5/19/22,-32.939
5/20/22,-32.715
5/23/22,-32.276
5/24/22,-32.312
5/25/22,-32.076
5/26/22,-31.566
5/27/22,-31.573
5/30/22,-31.796
5/31/22,-31.508
6/1/22,-30.601
6/2/22,-30.013
6/3/22,-29.144
6/6/22,-28.151
6/7/22,-27.672
6/8/22,-27.984
6/9/22,-27.88
6/10/22,-27.91
6/13/22,-27.952
6/14/22,-27.485
6/15/22,-26.925
6/16/22,-27.196
6/17/22,-26.856
6/20/22,-27.164
6/21/22,-28.032
6/22/22,-28.91
6/23/22,-28.781
6/24/22,-29.191
6/27/22,-29.066
6/28/22,-28.833
6/29/22,-28.048
6/30/22,-27.826
7/1/22,-27.088
7/4/22,-26.117
7/5/22,-25.364
7/6/22,-24.953
7/7/22,-24.132
7/8/22,-24.197
7/11/22,-24.344
7/12/22,-24.246
7/13/22,-24.464
7/14/22,-24.992
7/15/22,-24.109
7/18/22,-23.428
7/19/22,-23.753
7/20/22,-23.487
7/21/22,-23.018
7/22/22,-24.339
7/25/22,-25.954
7/26/22,-26.526
7/27/22,-27.571
7/28/22,-28.751
7/29/22,-29.354
8/1/22,-28.75
8/2/22,-28.304
8/3/22,-27.7
8/4/22,-27.55
8/5/22,-26.706
8/8/22,-26.476
8/9/22,-26.042
8/10/22,-26.004
8/11/22,-25.313
8/12/22,-25.425
8/15/22,-26.309
8/16/22,-27.23
8/17/22,-26.009
8/18/22,-25.623
8/19/22,-24.823
8/22/22,-23.865
8/23/22,-22.873
8/24/22,-23.937
8/25/22,-23.726
8/26/22,-23.885
8/29/22,-23.607
8/30/22,-23.289
8/31/22,-22.784
9/1/22,-22.876
9/2/22,-22.49
9/5/22,-22.451
9/6/22,-22.796
9/7/22,-22.885
9/8/22,-23.136
9/9/22,-23.657
9/12/22,-23.53
9/13/22,-23.539
9/14/22,-23.658
9/15/22,-23.771
9/16/22,-23.661
9/19/22,-23.853
9/20/22,-23.796
9/21/22,-23.606
9/22/22,-23.188
9/23/22,-23.206
9/26/22,-23.024
9/27/22,-22.841
9/28/22,-22.912
9/29/22,-22.805
9/30/22,-22.376
10/3/22,-22.024
10/4/22,-21.596
10/5/22,-21.348
10/6/22,-21.341
10/7/22,-21.351
10/10/22,-21.371
10/11/22,-21.624
10/12/22,-21.641
10/13/22,-21.804
10/14/22,-21.786
10/17/22,-22.196
10/18/22,-22.606
10/19/22,-23.214
10/20/22,-23.278
10/21/22,-23.892
10/24/22,-24.112
10/25/22,-24.212
10/26/22,-24.354
10/27/22,-24.863
10/28/22,-24.71
10/31/22,-24.835
11/1/22,-24.368
11/2/22,-23.59
11/3/22,-22.864
11/4/22,-22.549
11/7/22,-21.543
11/8/22,-21.103
11/9/22,-21.101
11/10/22,-21.169
11/11/22,-21.18
11/14/22,-21.459
11/15/22,-21.993
11/16/22,-22.395
11/17/22,-22.246
11/18/22,-22.086
11/21/22,-22.816
11/22/22,-22.858
11/23/22,-22.762
11/24/22,-23.067
11/25/22,-23.388
11/28/22,-23.064
11/29/22,-23.226
11/30/22,-23.3
12/1/22,-23.324
12/2/22,-24.077
12/5/22,-24.716
12/6/22,-25.495
12/7/22,-26.369
12/8/22,-27.481
12/9/22,-27.64
12/12/22,-27.958
12/13/22,-28.224
12/14/22,-28.502
12/15/22,-28.566
12/16/22,-28.801
12/19/22,-28.754
12/20/22,-29.196
12/21/22,-29.78
12/22/22,-30.086
12/23/22,-30.586
12/26/22,-31.299
12/27/22,-31.399
12/28/22,-31.332
12/29/22,-31.493
12/30/22,-31.867
1/2/23,-31.918
1/3/23,-31.875
1/4/23,-32.074
1/5/23,-32.232
1/6/23,-31.885
1/9/23,-32.002
1/10/23,-32.562
1/11/23,-32.86
1/12/23,-33.149
1/13/23,-33.63
1/16/23,-33.757
1/17/23,-33.607
1/18/23,-33.024
1/19/23,-32.918
1/20/23,-32.6
1/23/23,-32.321
1/24/23,-32.064
1/25/23,-32.27
1/26/23,-32.198
1/27/23,-32.221
1/30/23,-32.408
1/31/23,-32.638
2/1/23,-32.503
2/2/23,-32.617
2/3/23,-32.382
2/6/23,-32.374
2/7/23,-32.288
2/8/23,-32.663
2/9/23,-32.454
2/10/23,-32.65
2/13/23,-32.61
2/14/23,-32.492
2/15/23,-32.402
2/16/23,-32.489
2/17/23,-32.489
2/20/23,-32.591
2/21/23,-32.585
2/22/23,-32.348
2/23/23,-32.216
2/24/23,-32.08
2/27/23,-31.546
2/28/23,-30.479
3/1/23,-29.554
3/2/23,-28.557
3/3/23,-27.585
3/6/23,-26.93
3/7/23,-26.804
3/8/23,-26.742
3/9/23,-26.575
3/10/23,-26.568
3/13/23,-26.41
3/14/23,-26.307
3/15/23,-26.537
3/16/23,-26.9
3/17/23,-26.988
3/20/23,-27.438
3/21/23,-27.872
3/22/23,-27.63
3/23/23,-27.387
3/24/23,-27.576
3/27/23,-27.632
3/28/23,-26.81
3/29/23,-26.07
3/30/23,-25.5
3/31/23,-24.526
4/3/23,-23.244
4/4/23,-22.977
4/5/23,-22.592
4/6/23,-21.983
4/7/23,-21.452
4/10/23,-21.15
4/11/23,-20.8
4/12/23,-20.739
4/13/23,-20.814
4/14/23,-20.864
4/17/23,-20.934
4/18/23,-20.991
4/19/23,-20.626
4/20/23,-20.32
4/21/23,-20.138
4/24/23,-20.01
4/25/23,-19.894
4/26/23,-19.77
4/27/23,-19.902
4/28/23,-19.692
5/1/23,-19.407
5/2/23,-19.146
5/3/23,-19.5
5/4/23,-19.494
5/5/23,-19.762
5/8/23,-20
5/9/23,-20.534
5/10/23,-20.484
5/11/23,-20.855
5/12/23,-20.79
5/15/23,-20.874
5/16/23,-20.644
5/17/23,-20.888
5/18/23,-20.66
5/19/23,-20.86
5/22/23,-20.949
5/23/23,-20.997
5/24/23,-21.002
5/25/23,-21.066
5/26/23,-21.202
5/29/23,-21.332
5/30/23,-21.286
5/31/23,-21.418
6/1/23,-21.327
6/2/23,-21.198
6/5/23,-20.962
6/6/23,-20.99
6/7/23,-20.711
6/8/23,-20.694
6/9/23,-20.487
6/12/23,-19.997
6/13/23,-19.752
6/14/23,-19.636
6/15/23,-19.533
6/16/23,-19.578
6/19/23,-19.926
6/20/23,-20.091
6/21/23,-20.087
6/22/23,-20.03
6/23/23,-20.025
6/26/23,-20.099
6/27/23,-19.899
6/28/23,-19.737
6/29/23,-19.686
6/30/23,-19.385
7/3/23,-18.989
7/4/23,-18.848
7/5/23,-18.743
7/6/23,-18.667
7/7/23,-18.316
7/10/23,-18.318
7/11/23,-18.348
7/12/23,-18.317
7/13/23,-18.315
7/14/23,-18.922
7/17/23,-19.078
7/18/23,-19.077
7/19/23,-18.604
7/20/23,-18.153
7/21/23,-17.579
7/24/23,-17.18
7/25/23,-16.891
7/26/23,-16.886
7/27/23,-16.851
7/28/23,-16.967
7/31/23,-16.971
8/1/23,-16.759
8/2/23,-16.695
8/3/23,-16.494
8/4/23,-16.065
8/7/23,-15.757
8/8/23,-15.603
8/9/23,-15.47
8/10/23,-15.345
8/11/23,-15.292
8/14/23,-15.258
8/15/23,-15.06
8/16/23,-14.971
8/17/23,-14.97
8/18/23,-15.248
8/21/23,-15.43
8/22/23,-15.885
8/23/23,-16.311
8/24/23,-16.691
8/25/23,-16.744
8/28/23,-16.892
8/29/23,-16.952
8/30/23,-17.058
8/31/23,-17.109
9/1/23,-17.056
9/4/23,-16.931
9/5/23,-16.733
9/6/23,-16.599
9/7/23,-16.364
9/8/23,-16.286
9/11/23,-16.295
9/12/23,-16.275
9/13/23,-16.216
9/14/23,-16.313
9/15/23,-16.298
9/18/23,-16.208
9/19/23,-16.113
9/20/23,-15.856
9/21/23,-15.856
9/22/23,-15.939
9/25/23,-16.166
9/26/23,-16.52
9/27/23,-16.444
9/28/23,-15.909
9/29/23,-15.578
10/2/23,-15.189
10/3/23,-14.136
10/4/23,-13.282
10/5/23,-14.646
10/6/23,-14.141
10/9/23,-13.637
10/10/23,-13.775
10/11/23,-14.544
10/12/23,-12.523
10/13/23,-12.655
10/16/23,-12.969
10/17/23,-13.37
10/18/23,-13.618
10/19/23,-14.647
10/20/23,-14.742
10/23/23,-14.511
10/24/23,-14.881
10/25/23,-15.216
10/26/23,-15.1
10/27/23,-15.795
10/30/23,-16.665
10/31/23,-16.375
11/1/23,-15.609
11/2/23,-15.459
11/3/23,-14.844
11/6/23,-14.127
11/7/23,-13.852
11/8/23,-13.893
11/9/23,-13.792
11/10/23,-13.802
11/13/23,-14.184
11/14/23,-14.417
11/15/23,-14.791
11/16/23,-16.152
11/17/23,-16.936
11/20/23,-17.053
11/21/23,-18.162
11/22/23,-19.436
11/23/23,-19.41
11/24/23,-19.686
11/27/23,-20.469
11/28/23,-20.342
11/29/23,-20.062
11/30/23,-19.595
12/1/23,-19.463
12/4/23,-19.349
12/5/23,-19.222
12/6/23,-19.044
12/7/23,-19.31
12/8/23,-19.518
12/11/23,-19.536
12/12/23,-19.549
12/13/23,-19.554
12/14/23,-19.572
12/15/23,-19.547
12/18/23,-19.532
12/19/23,-19.55
12/20/23,-19.47
12/21/23,-19.223
12/22/23,-19.129
12/25/23,-19.028
12/26/23,-18.981
12/27/23,-18.957
12/28/23,-19.171
12/29/23,-19.318
1/1/24,-19.466
1/2/24,-19.497
1/3/24,-19.779
1/4/24,-19.875
1/5/24,-19.606
1/8/24,-19.49
1/9/24,-19.189
1/10/24,-18.918
1/11/24,-18.85
1/12/24,-19.122
1/15/24,-19.041
1/16/24,-19.26