Date,Extracted,Urals price,OPEC
1/1/2007,9.42,50.12,Pre
2/1/2007,9.46,53.81,Pre
3/1/2007,9.472909,58.81,Pre
4/1/2007,9.369266,63.92,Pre
5/1/2007,9.39,64.29,Pre
6/1/2007,9.44,67.83,Pre
7/1/2007,9.46,73.9,Pre
8/1/2007,9.39,69.25,Pre
9/1/2007,9.52,73.78,Pre
10/1/2007,9.5,79.5,Pre
11/1/2007,9.425,90.2,Pre
12/1/2007,9.4,89,Pre
1/1/2008,9.359,89.2,Pre
2/1/2008,9.362,91.14,Pre
3/1/2008,9.334,99,Pre
4/1/2008,9.296,105.75,Pre
5/1/2008,9.315,119.1,Pre
6/1/2008,9.334,127.7,Pre
7/1/2008,9.344,121.29,Pre
8/1/2008,9.409,112.2,Pre
9/1/2008,9.4058,97.61,Pre
10/1/2008,9.43,70.51,Pre
11/1/2008,9.3591,51.79,Pre
12/1/2008,9.3328,40.03,Pre
1/1/2009,9.343,43.09,Pre
2/1/2009,9.331,42.32,Pre
3/1/2009,9.388,45.65,Pre
4/1/2009,9.459,49.1,Pre
5/1/2009,9.4287,56.9,Pre
6/1/2009,9.4571,68.38,Pre
7/1/2009,9.4764,64.85,Pre
8/1/2009,9.532,72.27,Pre
9/1/2009,9.623,67.09,Pre
10/1/2009,9.6291,72.67,Pre
11/1/2009,9.654,76.32,Pre
12/1/2009,9.614,73.88,Pre
1/1/2010,9.6147,76.09,Pre
2/1/2010,9.6484,72.84,Pre
3/1/2010,9.6827,77.04,Pre
4/1/2010,9.646251,82.51,Pre
5/1/2010,9.691,74.1,Pre
6/1/2010,9.727355,74.37,Pre
7/1/2010,9.71,73.8,Pre
8/1/2010,9.623,75.45,Pre
9/1/2010,9.725,77.39,Pre
10/1/2010,9.816,81.53,Pre
11/1/2010,9.723,84.74,Pre
12/1/2010,9.719,89.74,Pre
1/1/2011,9.769,93.56,Pre
2/1/2011,9.773,101.49,Pre
3/1/2011,9.753,111.5,Pre
4/1/2011,9.795,119.6,Pre
5/1/2011,9.818,111.5,Pre
6/1/2011,9.77,111.68,Pre
7/1/2011,9.837,114.9,Pre
8/1/2011,9.832,109.25,Pre
9/1/2011,9.557,110.39,Pre
10/1/2011,9.902,108.1,Pre
11/1/2011,9.595,110.54,Pre
12/1/2011,9.869,107.31,Pre
1/1/2012,9.894,109.91,Pre
2/1/2012,9.889,118.5,Pre
3/1/2012,9.891,122.41,Pre
4/1/2012,9.861,117.69,Pre
5/1/2012,9.882,109.21,Pre
6/1/2012,9.861,93.81,Pre
7/1/2012,9.882,102.63,Pre
8/1/2012,9.907,113.18,Pre
9/1/2012,9.941,111.92,Pre
10/1/2012,9.984,110.26,Pre
11/1/2012,10.048,108.23,Pre
12/1/2012,10.018,108.21,Pre
1/1/2013,9.995,111.62,Pre
2/1/2013,9.99,114.51,Pre
3/1/2013,9.995,107.01,Pre
4/1/2013,10.002,102.06,Pre
5/1/2013,10.018,102.52,Pre
6/1/2013,9.955,102.74,Pre
7/1/2013,10.052,108.06,Pre
8/1/2013,10.064,110.75,Pre
9/1/2013,10.082,110.92,Pre
10/1/2013,10.109,108.28,Pre
11/1/2013,10.209,107.73,Pre
12/1/2013,10.17,110.44,Pre
1/1/2014,10.131,106.4,Pre
2/1/2014,10.106,107.43,Pre
3/1/2014,10.103,106.66,Pre
4/1/2014,10.083,106.91,Pre
5/1/2014,10.083,107.84,Pre
6/1/2014,10.095,109.44,Pre
7/1/2014,10.003,106.23,Pre
8/1/2014,10.056,101.98,Pre
9/1/2014,10.079,96.13,Pre
10/1/2014,10.176,86.63,Pre
11/1/2014,10.173,78.92,Pre
12/1/2014,10.197,61.53,Pre
1/1/2015,10.231,47.03,Pre
2/1/2015,10.181,57.81,Pre
3/1/2015,10.264,55.07,Pre
4/1/2015,10.111,59.7,Pre
5/1/2015,10.27,64.33,Pre
6/1/2015,10.166,62.52,Pre
7/1/2015,10.213,55.84,Pre
8/1/2015,10.268,46.22,Pre
9/1/2015,10.209,47.19,Pre
10/1/2015,10.341,47.49,Pre
11/1/2015,10.361,43.05,Pre
12/1/2015,10.407,36.97,Pre
1/1/2016,10.485,29.15,Pre
2/1/2016,10.485,30.87,Pre
3/1/2016,10.522,36.87,Pre
4/1/2016,10.45,39.89,Pre
5/1/2016,10.44,45.08,Pre
6/1/2016,10.453,46.6,Pre
7/1/2016,10.254,43.76,Pre
8/1/2016,10.316,44.06,Pre
9/1/2016,10.729,44.48,Pre
10/1/2016,10.826,48.24,Pre
11/1/2016,10.832,43.83,Pre
12/1/2016,10.83,52.28,Pre
1/1/2017,10.82999527,53.42,Post
2/1/2017,10.55147205,53.67,Post
3/1/2017,10.73339344,49.94,Post
4/1/2017,10.71253671,51.55,Post
5/1/2017,10.65409379,49.04,Post
6/1/2017,10.60277045,45.52,Post
7/1/2017,10.5433577,47.82,Post
8/1/2017,10.54262816,51.3,Post
9/1/2017,10.54607689,54.89,Post
10/1/2017,10.5069205,56.81,Post
11/1/2017,10.50301196,62.53,Post
12/1/2017,10.52734992,63.75,Post
1/1/2018,10.54952908,68.69,Post
2/1/2018,10.55184546,63.01,Post
3/1/2018,10.56572602,63.63,Post
4/1/2018,10.56199402,69.16,Post
5/1/2018,10.56924915,75.23,Post
6/1/2018,10.66261049,73.55,Post
7/1/2018,10.81414208,73.2,Post
8/1/2018,10.81085541,71.62,Post
9/1/2018,10.96436216,78.5,Post
10/1/2018,11.01370724,80.16,Post
11/1/2018,10.97188762,64.41,Post
12/1/2018,11.05083015,57.18,Post
1/1/2019,10.97277511,60.26,Post
2/1/2019,10.93057086,64.1,Post
3/1/2019,10.89912279,66.21,Post
4/1/2019,10.83547632,71.9,Post
5/1/2019,10.70899205,71.68,Post
6/1/2019,10.75584809,62.47,Post
7/1/2019,10.75056024,63.73,Post
8/1/2019,10.9000686,59.95,Post
9/1/2019,10.86003182,61.65,Post
10/1/2019,10.8358247,59.28,Post
11/1/2019,10.85336152,64.44,Post
12/1/2019,10.87117421,67.09,Post
1/1/2020,10.91624189,62.86,Post
2/1/2020,10.89730782,55.11,Post
3/1/2020,10.89382628,29.51,Post
4/1/2020,10.93482226,16.61,Post
5/1/2020,8.992708018,30.65,Post
6/1/2020,8.925449357,42.36,Post
7/1/2020,8.977906147,44.28,Post
8/1/2020,9.467573792,45.03,Post
9/1/2020,9.562108723,40.98,Post
10/1/2020,9.593531566,40.26,Post
11/1/2020,9.62197039,43.35,Post
12/1/2020,9.654725244,50.07,Post
1/1/2021,9.765881147,54.89,Post
2/1/2021,9.708974,61.47,Post
3/1/2021,9.858901212,64.29,Post
4/1/2021,10.07249662,63.02,Post
5/1/2021,10.06321905,67.26,Post
6/1/2021,10.01500499,71.57,Post
7/1/2021,10.05735505,73.09,Post
8/1/2021,10.02217105,68.14,Post
9/1/2021,10.31243196,72.65,Post
10/1/2021,10.43915347,81.93,Post
11/1/2021,10.50259659,80.08,Post
12/1/2021,10.49944863,73.14,Post
1/1/2022,10.59828541,86.23,Post
2/1/2022,10.65140257,94.94,Post
3/1/2022,10.60774347,92.59,Post
4/1/2022,9.643178523,72.55,Post
5/1/2022,9.788178523,81.18,Post
6/1/2022,10.29817852,91.61,Post
7/1/2022,10.33617852,85.32,Post
8/1/2022,10.22717852,77.34,Post
9/1/2022,10.25217852,68.63,Post
10/1/2022,10.22717852,70.54,Post
11/1/2022,10.37717852,67.98,Post
12/1/2022,10.35218,52.23,Post
