Date,Price
Jan-07,50.12
Feb-07,53.81
Mar-07,58.81
Apr-07,63.92
May-07,64.29
Jun-07,67.83
Jul-07,73.9
Aug-07,69.25
Sep-07,73.78
Oct-07,79.5
Nov-07,90.2
Dec-07,89
Jan-08,89.2
Feb-08,91.14
Mar-08,99
Apr-08,105.75
May-08,119.1
Jun-08,127.7
Jul-08,121.29
Aug-08,112.2
Sep-08,97.61
Oct-08,70.51
Nov-08,51.79
Dec-08,40.03
Jan-09,43.09
Feb-09,42.32
Mar-09,45.65
Apr-09,49.1
May-09,56.9
Jun-09,68.38
Jul-09,64.85
Aug-09,72.27
Sep-09,67.09
Oct-09,72.67
Nov-09,76.32
Dec-09,73.88
Jan-10,76.09
Feb-10,72.84
Mar-10,77.04
Apr-10,82.51
May-10,74.1
Jun-10,74.37
Jul-10,73.8
Aug-10,75.45
Sep-10,77.39
Oct-10,81.53
Nov-10,84.74
Dec-10,89.74
Jan-11,93.56
Feb-11,101.49
Mar-11,111.5
Apr-11,119.6
May-11,111.5
Jun-11,111.68
Jul-11,114.9
Aug-11,109.25
Sep-11,110.39
Oct-11,108.1
Nov-11,110.54
Dec-11,107.31
Jan-12,109.91
Feb-12,118.5
Mar-12,122.41
Apr-12,117.69
May-12,109.21
Jun-12,93.81
Jul-12,102.63
Aug-12,113.18
Sep-12,111.92
Oct-12,110.26
Nov-12,108.23
Dec-12,108.21
Jan-13,111.62
Feb-13,114.51
Mar-13,107.01
Apr-13,102.06
May-13,102.52
Jun-13,102.74
Jul-13,108.06
Aug-13,110.75
Sep-13,110.92
Oct-13,108.28
Nov-13,107.73
Dec-13,110.44
Jan-14,106.4
Feb-14,107.43
Mar-14,106.66
Apr-14,106.91
May-14,107.84
Jun-14,109.44
Jul-14,106.23
Aug-14,101.98
Sep-14,96.13
Oct-14,86.63
Nov-14,78.92
Dec-14,61.53
Jan-15,47.03
Feb-15,57.81
Mar-15,55.07
Apr-15,59.7
May-15,64.33
Jun-15,62.52
Jul-15,55.84
Aug-15,46.22
Sep-15,47.19
Oct-15,47.49
Nov-15,43.05
Dec-15,36.97
Jan-16,29.15
Feb-16,30.87
Mar-16,36.87
Apr-16,39.89
May-16,45.08
Jun-16,46.6
Jul-16,43.76
Aug-16,44.06
Sep-16,44.48
Oct-16,48.24
Nov-16,43.83
Dec-16,52.28
Jan-17,53.42
Feb-17,53.67
Mar-17,49.94
Apr-17,51.55
May-17,49.04
Jun-17,45.52
Jul-17,47.82
Aug-17,51.3
Sep-17,54.89
Oct-17,56.81
Nov-17,62.53
Dec-17,63.75
Jan-18,68.69
Feb-18,63.01
Mar-18,63.63
Apr-18,69.16
May-18,75.23
Jun-18,73.55
Jul-18,73.2
Aug-18,71.62
Sep-18,78.5
Oct-18,80.16
Nov-18,64.41
Dec-18,57.18
Jan-19,60.26
Feb-19,64.1
Mar-19,66.21
Apr-19,71.9
May-19,71.68
Jun-19,62.47
Jul-19,63.73
Aug-19,59.95
Sep-19,61.65
Oct-19,59.28
Nov-19,64.44
Dec-19,67.09
Jan-20,62.86
Feb-20,55.11
Mar-20,29.51
Apr-20,16.61
May-20,30.65
Jun-20,42.36
Jul-20,44.28
Aug-20,45.03
Sep-20,40.98
Oct-20,40.26
Nov-20,43.35
Dec-20,50.07
Jan-21,54.89
Feb-21,61.47
Mar-21,64.29
Apr-21,63.02
May-21,67.26
Jun-21,71.57
Jul-21,73.09
Aug-21,68.14
Sep-21,72.65
Oct-21,81.93
Nov-21,80.08
Dec-21,73.14
Jan-22,86.23
Feb-22,94.94
Mar-22,92.59
Apr-22,72.55
May-22,81.18
Jun-22,91.61
Jul-22,85.32
Aug-22,77.34
Sep-22,68.63
Oct-22,70.54
Nov-22,67.98
Dec-22,52.23
Jan-23,52.21
Feb-23,51.91
Mar-23,49.74
Apr-23,59.97
May-23,55.22
Jun-23,56.64
Jul-23,65.12
Aug-23,74.54